ano;provres;depres;pesonac;cant
2010;2;1;1.Menos de 2500 gramos;104
2010;2;1;2.2500 gramos y mas;1582
2010;2;1;3.Sin especificar;9
2010;2;2;1.Menos de 2500 gramos;122
2010;2;2;2.2500 gramos y mas;1814
2010;2;2;3.Sin especificar;14
2010;2;3;1.Menos de 2500 gramos;71
2010;2;3;2.2500 gramos y mas;993
2010;2;3;3.Sin especificar;12
2010;2;4;1.Menos de 2500 gramos;78
2010;2;4;2.2500 gramos y mas;1026
2010;2;4;3.Sin especificar;3
2010;2;5;1.Menos de 2500 gramos;163
2010;2;5;2.2500 gramos y mas;2160
2010;2;5;3.Sin especificar;10
2010;2;6;1.Menos de 2500 gramos;106
2010;2;6;2.2500 gramos y mas;1460
2010;2;6;3.Sin especificar;12
2010;2;7;1.Menos de 2500 gramos;143
2010;2;7;2.2500 gramos y mas;1496
2010;2;7;3.Sin especificar;9
2010;2;8;1.Menos de 2500 gramos;48
2010;2;8;2.2500 gramos y mas;768
2010;2;8;3.Sin especificar;14
2010;2;9;1.Menos de 2500 gramos;104
2010;2;9;2.2500 gramos y mas;1348
2010;2;9;3.Sin especificar;11
2010;2;10;1.Menos de 2500 gramos;26
2010;2;10;2.2500 gramos y mas;510
2010;2;10;3.Sin especificar;7
2010;2;11;1.Menos de 2500 gramos;55
2010;2;11;2.2500 gramos y mas;580
2010;2;11;3.Sin especificar;10
2010;2;12;1.Menos de 2500 gramos;63
2010;2;12;2.2500 gramos y mas;635
2010;2;12;3.Sin especificar;4
2010;2;13;1.Menos de 2500 gramos;58
2010;2;13;2.2500 gramos y mas;640
2010;2;13;3.Sin especificar;10
2010;2;14;1.Menos de 2500 gramos;38
2010;2;14;2.2500 gramos y mas;377
2010;2;14;3.Sin especificar;3
2010;2;15;1.Menos de 2500 gramos;102
2010;2;15;2.2500 gramos y mas;1479
2010;2;15;3.Sin especificar;10
2010;2;16;1.Menos de 2500 gramos;135
2010;2;16;2.2500 gramos y mas;1696
2010;2;16;3.Sin especificar;14
2010;2;17;1.Menos de 2500 gramos;153
2010;2;17;2.2500 gramos y mas;2146
2010;2;17;3.Sin especificar;9
2010;2;18;1.Menos de 2500 gramos;162
2010;2;18;2.2500 gramos y mas;1934
2010;2;18;3.Sin especificar;11
2010;2;19;1.Menos de 2500 gramos;117
2010;2;19;2.2500 gramos y mas;1611
2010;2;19;3.Sin especificar;10
2010;2;20;1.Menos de 2500 gramos;73
2010;2;20;2.2500 gramos y mas;1315
2010;2;20;3.Sin especificar;9
2010;2;21;1.Menos de 2500 gramos;136
2010;2;21;2.2500 gramos y mas;1681
2010;2;21;3.Sin especificar;31
2010;2;22;1.Menos de 2500 gramos;260
2010;2;22;2.2500 gramos y mas;4032
2010;2;22;3.Sin especificar;63
2010;2;23;1.Menos de 2500 gramos;190
2010;2;23;2.2500 gramos y mas;3052
2010;2;23;3.Sin especificar;31
2010;2;24;1.Menos de 2500 gramos;88
2010;2;24;2.2500 gramos y mas;1272
2010;2;24;3.Sin especificar;3
2010;2;25;1.Menos de 2500 gramos;84
2010;2;25;2.2500 gramos y mas;1095
2010;2;25;3.Sin especificar;10
